MultiPolygon(((-74.075736278 -13.566740328,-73.061198174 -13.560923068,-73.052822772 -14.553155283,-74.0717411919999 -14.5594157309999,-74.075736278 -13.566740328))),18LXK
MultiPolygon(((-74.0791075669999 -12.662413909,-73.068265883 -12.656997286,-73.060478522 -13.649305688,-74.075393003 -13.6551622759999,-74.0791075669999 -12.662413909))),18LXL
MultiPolygon(((-74.0822279719999 -11.758025344,-73.0748076689999 -11.7530066579999,-73.067598141 -12.745386481,-74.078789055 -12.7508421549999,-74.0822279719999 -11.758025344))),18LXM
MultiPolygon(((-74.085099902 -10.854121391,-73.080828574 -10.84949792,-73.0741871669999 -11.8419443019999,-74.0819319949999 -11.847002023,-74.085099902 -10.854121391))),18LXN
MultiPolygon(((-74.087730512 -9.94962116699998,-73.086343588 -9.94539087499993,-73.080262079 -10.9378989749999,-74.0848296889999 -10.94256101,-74.087730512 -9.94962116699998))),18LXP
MultiPolygon(((-74.0901213769999 -9.04507150499995,-73.091356005 -9.04123232299997,-73.085826606 -10.033797208,-74.087483917 -10.0380658509999,-74.0901213769999 -9.04507150499995))),18LXQ
MultiPolygon(((-74.092274318 -8.14101940499995,-73.095869637 -8.13756923399995,-73.090884988 -9.13018589099994,-74.089896707 -9.13406346499994,-74.092274318 -8.14101940499995))),18LXR
MultiPolygon(((-73.152097215 -13.561612388,-72.138132384 -13.5520494479999,-72.1257806419999 -14.543605672,-73.1441139249999 -14.553897118,-73.152097215 -13.561612388))),18LYK
MultiPolygon(((-73.1588340289999 -12.657639134,-72.148555701 -12.6487347639999,-72.137071063 -13.640372081,-73.151411256 -13.649999669,-73.1588340289999 -12.657639134))),18LYL
MultiPolygon(((-73.1650695389999 -11.753601353,-72.158203488 -11.7453511209999,-72.147570924 -12.737064393,-73.15819755 -12.746032956,-73.1650695389999 -11.753601353))),18LYM
MultiPolygon(((-73.170808549 -10.850045784,-72.167083159 -10.842445222,-72.1572883709999 -11.834229222,-73.164478088 -11.8425436219999,-73.170808549 -10.850045784))),18LYN
MultiPolygon(((-73.176065352 -9.94589214899997,-72.1752168039999 -9.93893791599993,-72.166247686 -10.9307874539999,-73.1702685779999 -10.9384514079999,-73.176065352 -9.94589214899997))),18LYP
MultiPolygon(((-73.1808430849999 -9.04168725199997,-72.182609262 -9.03537595499995,-72.1744543459999 -10.027285751,-73.1755725739999 -10.034303026,-73.1808430849999 -9.04168725199997))),18LYQ
MultiPolygon(((-73.185145386 -8.13797806699995,-72.1892661429999 -8.13230625899996,-72.18191459 -9.12427096199997,-73.1803941219999 -9.13064537,-73.185145386 -8.13797806699995))),18LYR
MultiPolygon(((-72.228413654 -13.55306783,-71.2153013189999 -13.53976911,-71.1989871449999 -14.5303899099999,-72.2164503179999 -14.5447016319999,-72.228413654 -13.55306783))),18LZK
MultiPolygon(((-72.2385091909999 -12.6496830159999,-71.2290686329999 -12.6373000689999,-71.213899515 -13.6280087339999,-72.227385706 -13.641397347,-72.2385091909999 -12.6496830159999))),18LZL
MultiPolygon(((-72.2478535769999 -11.7462297129999,-71.241811779 -11.73475639,-71.227767913 -12.725547268,-72.237555383 -12.7380194799999,-72.2478535769999 -11.7462297129999))),18LZM
MultiPolygon(((-72.256453993 -10.843254631,-71.2535405089999 -10.832684732,-71.240603052 -11.823552094,-72.246967238 -11.8351146479999,-72.256453993 -10.843254631))),18LZN
